Site,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,BHG1,BHG2,BHG3,BHG4,BHG5,BHG6,BHG7,BHG8,BHG9,BHG10,Rat1,Rat2,Rat3,Rat4,Rat5,Rat6,Rat7,Rat8,Rat9,Rat10,Height1,Height2,Height3,Height4,Height5,Height6,Height7,Height8,Height9,Height10,Orientation1,Orientation2,Orientation3,Orientation4,Orientation5,Orientation6,Orientation7,Orientation8,Orientation9,Orientation10,YCASC,CHM.S,DistRoad.S,Slope.S
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,B,A,A,A,A,A,A,B,C,C,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,0.764015953,-0.889032744,0.09975968
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,B,A,NA,A,C,A,B,C,A,C,Horizontal,Horizontal,NA,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,0,-0.058869447,-0.889032744,-0.469609785
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,A,A,A,C,A,A,B,C,A,Vertical,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,0,0.50774463,-0.889032744,0.310792916
93,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,A,A,NA,B,B,NA,C,C,C,C,Horizontal,Horizontal,NA,Horizontal,Horizontal,NA,Vertical,Horizontal,Horizontal,Horizontal,0,-1.12610092,-0.382470017,3.038065484
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,B,C,B,A,B,A,C,A,A,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,0.89250376,-0.889032744,-0.371533938
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A,B,A,A,B,C,A,A,B,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,0.707070556,-0.686407595,0.10974744
96,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,A,A,A,A,A,B,A,A,B,C,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,1.176571888,-0.523745187,-0.954442549
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A,A,A,A,A,B,B,C,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,0.118339446,-0.602477522,-0.864485528
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,A,A,C,A,A,B,A,A,A,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,1.134166708,-0.602477522,-0.989694513
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,B,A,C,A,A,A,A,A,A,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,1.709959297,-0.343448004,0.014929544
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,A,B,A,C,A,A,A,A,A,C,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,0.622532827,-0.382470017,-0.725666095
101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,A,A,A,B,A,A,A,A,A,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,1.444259553,-0.787720199,-1.128188973
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,C,C,C,C,C,A,A,C,A,C,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,0,-1.287502553,-0.523745187,-1.055115433
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,B,B,B,A,A,B,B,A,C,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,0.095109178,-0.179844868,0.85636261
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,A,A,C,A,A,A,C,A,C,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,0,-0.608218152,-0.787720199,-0.804900399
105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,A,A,A,B,A,A,A,A,A,B,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,0.581025051,-0.686407595,-0.941691839
106,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,A,A,B,A,A,C,A,A,C,B,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,0,-1.162883125,-0.889032744,-1.145566632
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A,A,A,A,A,A,B,B,C,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,0,-1.298581971,-0.787720199,-1.138021513
108,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,A,A,C,C,A,B,A,A,A,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,0.690871846,-0.568654264,0.203785127
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A,A,A,NA,C,A,A,A,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,-1.298581971,-0.787720199,-0.619960938
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,A,A,A,C,A,A,C,A,A,B,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,-0.149700364,-0.523745187,-1.02152124
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,B,A,A,A,A,A,C,B,B,B,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,0.391934074,-0.483782591,-1.030656118
112,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,NA,C,B,A,B,C,B,A,A,A,A,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,-0.336059371,-0.745755162,1.991873756
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,A,A,A,A,A,B,A,A,B,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,0.020045308,-0.483782591,0.607532479
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,A,A,C,C,A,A,C,A,A,A,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,-0.259664163,-0.686407595,-0.153663942
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,A,A,A,A,C,A,C,A,A,C,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,-0.148927915,-0.343448004,1.198817699
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,A,C,A,A,B,A,A,A,A,C,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,0,0.499940623,-0.602477522,-0.034456662
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A,A,A,A,A,A,B,C,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,0.054737357,0.522087888,1.65989457
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,C,C,B,C,A,A,B,A,A,Vertical,Horizontal,Horizontal,Vertical,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,0,0.217655943,0.022780135,0.629937749
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,B,A,C,A,A,B,A,B,A,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,NA,0.36412591,-0.787720199,-0.217070581
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,A,A,B,A,A,A,A,A,B,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,NA,NA,Horizontal,0,0.669345509,0.979078829,-1.039987076
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,B,A,C,A,C,A,B,A,C,A,Horizontal,Horizontal,Vertical,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,0,-0.741760957,0.836258228,-0.553641888
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,C,B,A,C,C,C,A,B,A,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,0,-0.297761803,2.090659545,1.033630253
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A,A,C,A,A,A,A,C,A,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,Vertical,Horizontal,Horizontal,Vertical,Horizontal,0,0.227743219,1.149842591,0.659390944
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,B,C,A,C,A,A,C,C,C,C,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,0,0.016932793,-0.745755162,2.06420411
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,A,A,A,C,A,C,A,C,B,B,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,0,0.42545609,-0.602477522,-0.054503482
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,C,A,C,A,B,A,A,C,C,A,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,0.380358699,-0.686407595,-0.379024758
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,B,B,C,B,C,B,C,C,A,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Vertical,Horizontal,Vertical,0,0.217655943,0.022780135,0.629937749
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,C,A,C,A,A,C,A,B,B,Horizontal,Vertical,Horizontal,Vertical,Horizontal,Horizontal,Vertical,Horizontal,Vertical,Horizontal,0,1.131292744,-0.889032744,-0.853755954
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,A,A,A,A,A,A,A,A,NA,NA,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,NA,NA,0,-0.982015322,-0.298284186,-0.029311951
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,A,A,A,B,B,A,A,A,A,B,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,-1.298581971,-0.787720199,0.131011878
131,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,A,A,A,A,A,A,A,A,A,C,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,0,2.170009488,0.343487674,-0.508362401
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,A,A,A,A,A,B,A,A,A,B,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,1,2.285308864,-0.889032744,-0.685081568
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,B,B,C,A,A,A,C,B,C,C,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Vertical,0,-1.297833149,-0.889032744,-0.49057119
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,A,A,A,A,A,A,A,C,A,C,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,0,1.099894963,-0.686407595,-0.796093235
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,C,B,B,A,C,A,A,A,B,C,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,0,1.595966269,0.830298298,-0.842591712
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,A,A,A,A,A,B,B,C,A,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Vertical,0,2.407174057,-0.281157443,-1.163679524
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,B,A,C,B,A,A,A,C,B,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,-0.361647881,0.108780218,0.458552517
138,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,B,C,A,A,A,A,A,B,A,B,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,1.173800159,0.129145877,1.308444464
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,A,A,C,A,C,B,C,B,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,-0.411569671,-0.248275929,-0.088077108
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,A,A,C,A,A,A,A,A,A,A,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,1,1.821305552,-0.889032744,0.615649933
141,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,A,A,C,C,C,A,A,B,B,C,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,-1.291467147,-0.889032744,1.481406566
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A,A,C,A,C,A,C,A,C,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,-1.298581971,-0.889032744,-0.245260908
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,A,A,A,B,B,A,B,A,A,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,0,-0.718495474,-0.787720199,0.183395509
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,A,A,C,C,B,B,A,A,C,C,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,-0.429883528,-0.686407595,0.76938793
145,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,C,C,C,A,B,A,A,B,C,C,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,-1.251314906,-0.523745187,0.506050593
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,C,B,A,C,C,A,C,A,A,C,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,0,-0.987232761,-0.483782591,-0.196970284
147,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,A,A,C,C,A,A,A,C,C,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,0,-0.532332988,-0.889032744,-0.840750202
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A,C,A,A,A,B,A,A,C,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,0,0.469951426,-0.745755162,0.126784495
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,A,A,A,A,B,A,A,B,C,A,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,0.248326713,-0.602477522,0.951057098
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,A,A,A,A,C,C,A,A,A,A,Horizontal,NA,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,1.21665972,-0.889032744,0.478105709
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,A,B,B,C,B,A,A,A,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,0,-0.941551489,-0.523745187,0.684716851
152,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,NA,0,0,0,1,A,A,A,B,C,A,A,A,C,B,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,0,-0.111691329,-0.117459377,0.476227176
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,A,A,C,A,A,A,A,A,B,A,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,-0.88068137,-0.889032744,1.446482317
154,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,NA,0,0,1,1,0,0,A,A,C,A,A,C,A,A,B,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,2.688356861,-0.889032744,-0.913528936
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A,A,A,A,B,A,B,A,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,0,2.764090943,-0.523745187,-0.845820868
156,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A,B,A,A,A,C,A,A,C,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Vertical,0,0.791676443,0.187934363,0.118170669
157,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,B,A,A,A,A,A,C,C,A,C,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,-0.914987194,-0.787720199,-0.625538946
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,A,A,A,A,B,A,A,A,A,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,1,-0.853220807,-0.372438145,-0.452520625
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,A,A,B,A,A,C,A,B,A,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,0.72916487,-0.568654264,-0.834784147
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,A,A,C,C,A,A,C,B,B,A,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,0,-0.824394827,-0.078532294,0.070606777
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,A,A,B,B,A,C,A,A,C,A,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,1,0.293276431,-0.889032744,-0.825872773
